cycle,encoder_error_cw,encoder_error_ccw
2034,16775158.0,16775158.0
2035,16775159.0,16775160.0
2036,16775161.0,16775158.0
2037,16775165.0,16775167.0
2038,16775169.0,16775164.0
2039,16775156.0,16775157.0
2040,16775163.0,16775163.0
2041,16775163.0,16775164.0
2042,16775155.0,16775160.0
2043,16775164.0,16775165.0
2044,16775170.0,16775173.0
2045,16775169.0,16775165.0
2046,16775159.0,16775163.0
2047,16775154.0,16775150.0
2048,16775155.0,16775157.0
2049,16775153.0,16775150.0
2050,16775153.0,16775150.0
2051,16775154.0,16775157.0
2052,16775153.0,16775150.0
2053,16775154.0,16775151.0
2054,16775156.0,16775158.0
2055,16775155.0,16775157.0
2056,16775153.0,16775149.0
2057,16775148.0,16775150.0
2058,16775149.0,16775150.0
2059,16775149.0,16775150.0
2060,16775152.0,16775150.0
2061,16775156.0,16775160.0
2062,16775165.0,16775168.0
2063,16775154.0,16775151.0
2064,16775155.0,16775160.0
2065,16775155.0,16775150.0
2066,16775159.0,16775159.0
2067,16775154.0,16775158.0
2068,16775154.0,16775161.0
2069,16775154.0,16775151.0
2070,16775158.0,16775158.0
2071,16775154.0,16775150.0
2072,16775149.0,16775145.0
2073,16775150.0,16775151.0
2074,16775148.0,16775144.0
2075,16775144.0,16775144.0
2076,16775148.0,16775150.0
2077,16775153.0,16775150.0
2078,16775156.0,16775160.0
2079,16775164.0,16775168.0
2080,16775148.0,16775146.0
2081,16775154.0,16775151.0
2082,16775152.0,16775151.0
2083,16775150.0,16775151.0
2084,16775154.0,16775150.0
2085,16775150.0,16775151.0
2086,16775151.0,16775151.0
2087,16775150.0,16775152.0
2088,16775157.0,16775159.0
2089,16775166.0,16775166.0
2090,16775167.0,16775167.0
2091,16775149.0,16775151.0
2092,16775153.0,16775150.0
2093,16775150.0,16775150.0
2094,16775148.0,16775150.0
2095,16775158.0,16775161.0
2096,16775155.0,16775151.0
2097,16775155.0,16775158.0
2098,16775162.0,16775167.0
2099,16775163.0,16775165.0
2100,16775164.0,16775163.0
2101,16775156.0,16775158.0
2102,16775161.0,16775157.0
2103,16775163.0,16775164.0
2104,16775158.0,16775165.0
2105,16775158.0,16775157.0
2106,16775158.0,16775158.0
2107,16775161.0,16775164.0
2108,16775166.0,16775171.0
2109,16775172.0,16775174.0
2110,16775174.0,16775176.0
2111,16775172.0,16775172.0
2112,16775165.0,16775164.0
2113,16775164.0,16775164.0
2114,16775164.0,16775163.0
2115,16775161.0,16775167.0
2116,16775166.0,16775165.0
2117,16775161.0,16775167.0
2118,16775147.0,16775150.0
2119,16775152.0,16775156.0
2120,16775157.0,16775159.0
2121,16775159.0,16775164.0
2122,16775157.0,16775159.0
2123,16775153.0,16775156.0
2124,16775158.0,16775164.0
2125,16775159.0,16775167.0
2126,16775162.0,16775168.0
2127,16775165.0,16775165.0
2128,16775169.0,16775175.0
2129,16775183.0,16775179.0
2130,16775187.0,16775179.0
2131,16775185.0,16775179.0
2132,16775181.0,16775174.0
2133,16775171.0,16775168.0
2134,16775159.0,16775162.0
2135,16775159.0,16775160.0
2136,16775163.0,16775170.0
2137,16775164.0,16775167.0
2138,16775151.0,16775146.0
2139,16775151.0,16775151.0
2140,16775160.0,16775159.0
2141,16775162.0,16775160.0
2142,16775163.0,16775163.0
2143,16775157.0,16775152.0
